"lead_key","occurrence_count","statuses","business_name","niche","city","state","website","owner_name","validation_status","triage_reason","recommended_action","source_files","should_skip_research","should_skip_collection"
"website:kiddroof.com","5","final_artifact;master;pending;raw;reviewed_artifact","Kidd Roofing","roofing","Austin","TX","https://www.kiddroof.com/","Chris Lowe","reviewed_decision_maker_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/final/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/raw/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:jcroofconstruction.com","5","final_artifact;master;pending;raw;reviewed_artifact","JC Roof Construction LLC","roofing","Austin","TX","http://jcroofconstruction.com","Cruz Castillo","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/final/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/raw/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:smartchargeamerica.com","5","final_artifact;master;pending;raw;reviewed_artifact","Smart Charge America","electrician","Austin","TX","https://smartchargeamerica.com/","Joseph Barletta","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/final/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/raw/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:beckettelectrical.com","5","final_artifact;master;pending;raw;reviewed_artifact","Beckett Electrical Services","electrician","Austin","TX","https://www.beckettelectrical.com/","Jesse Beckett","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/final/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/raw/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:colonyroofers.com","5","final_artifact;master;pending;raw;reviewed_artifact","Colony Roofers","roofing","Atlanta","GA","https://www.colonyroofers.com/","Zach Reece","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/final/2026-06-14-usa-owner-enriched-batch-019.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/raw/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-usa-owner-enriched-batch-019.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:frankwatersystems.com","5","final_artifact;master;pending;raw;reviewed_artifact","Frank Water Systems","plumbing","Charlotte","NC","https://frankwatersystems.com","Frank Helms","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/final/2026-06-14-usa-owner-enriched-batch-019.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/raw/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-usa-owner-enriched-batch-019.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:mountainsideair.com","5","final_artifact;master;pending;raw;reviewed_artifact","Mountainside Air Conditioning Repair","hvac","Phoenix","AZ","https://mountainsideair.com/","Tom Doepke","reviewed_final_public_owner_verified","owner_verified;official_site_verified;official_contact_path_verified;public_directory_profile_verified;public_press_profile_verified","merge_as_reviewed_final;offer HVAC conversion-path cleanup, AI SEO/GEO audit, and local trust-proof packaging","data/master_leads.csv;data/runs/2026-06-15-031905-2026-06-15-usa-home-services-sprint/final/2026-06-15-phoenix-hvac-final-batch-066.csv;data/runs/2026-06-15-031905-2026-06-15-usa-home-services-sprint/raw/2026-06-15T03-17-40-062Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-15-031905-2026-06-15-usa-home-services-sprint/reviewed/2026-06-15-phoenix-hvac-reviewed-batch-066.csv;data/runs/2026-06-15-031905-2026-06-15-usa-home-services-sprint/tmp/2026-06-15T03-17-40-062Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:hunterhvac.net","5","final_artifact;master;pending;raw;reviewed_artifact","Hunter Heating And Air Conditioning","hvac","Atlanta","GA","http://www.hunterhvac.net/","Cleve Hunter","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/final/2026-06-14-usa-owner-enriched-batch-019.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/raw/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-usa-owner-enriched-batch-019.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:finelineconstruction.net","5","final_artifact;master;pending;raw;reviewed_artifact","Fineline Construction","roofing","Charlotte","NC","https://www.finelineconstruction.net","Mitchell D. Browning","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/final/2026-06-14-usa-owner-enriched-batch-019.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/raw/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-usa-owner-enriched-batch-019.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:theshinglemaster.com","5","final_artifact;master;pending;raw;reviewed_artifact","The Shingle Master","roofing","Raleigh","NC","https://www.theshinglemaster.com/","Bryan G. Yurko","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-151454-2026-06-14-usa-home-services-sprint/final/2026-06-14-usa-raleigh-owner-enriched-batch-023.csv;data/runs/2026-06-14-151454-2026-06-14-usa-home-services-sprint/raw/2026-06-14T15-12-38-464Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-151454-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-usa-raleigh-owner-enriched-batch-023.csv;data/runs/2026-06-14-151454-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T15-12-38-464Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:salisroofing.com","5","final_artifact;master;pending;raw;reviewed_artifact","Salis Roofing","roofing","Dallas","TX","https://salisroofing.com/","Brad Patrick Sykes","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/final/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/raw/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:coolingheatingplumbing.com/?utm_source=gmb&utm_medium=organic","5","final_artifact;master;pending;raw;reviewed_artifact","Chaffee HVAC, Plumbing, & Electrical","hvac","Knoxville","TN","https://coolingheatingplumbing.com/?utm_source=gmb&utm_medium=organic","Aaron O'Hern","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-150640-2026-06-14-usa-home-services-sprint/final/2026-06-14-usa-raleigh-knoxville-owner-enriched-batch-022.csv;data/runs/2026-06-14-150640-2026-06-14-usa-home-services-sprint/raw/2026-06-14T15-04-29-026Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-150640-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-usa-raleigh-knoxville-owner-enriched-batch-022.csv;data/runs/2026-06-14-150640-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T15-04-29-026Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:rhino-roof.com","5","final_artifact;master;pending;raw;reviewed_artifact","Rhino Roofing","roofing","Raleigh","NC","https://rhino-roof.com/","Liam Leshchiner","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-151454-2026-06-14-usa-home-services-sprint/final/2026-06-14-usa-raleigh-owner-enriched-batch-023.csv;data/runs/2026-06-14-151454-2026-06-14-usa-home-services-sprint/raw/2026-06-14T15-12-38-464Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-151454-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-usa-raleigh-owner-enriched-batch-023.csv;data/runs/2026-06-14-151454-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T15-12-38-464Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:nomibath.com","5","final_artifact;master;pending;raw;reviewed_artifact","NOMI - Bathroom Remodeling Dallas Tx","plumbing","Dallas","TX","https://nomibath.com/","Joseph Tsedaka","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/final/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/raw/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:amstillroofing.com/houston-roofing","5","final_artifact;master;pending;raw;reviewed_artifact","Amstill Roofing","roofing","Houston","TX","https://amstillroofing.com/houston-roofing","Sam Stilley","reviewed_decision_maker_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/final/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/raw/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:acuityelectric.com","5","final_artifact;master;pending;raw;reviewed_artifact","Acuity Electric","electrician","Houston","TX","http://acuityelectric.com/","Nancy Trunk","reviewed_decision_maker_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/final/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/raw/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:theontimeexperts.com","5","final_artifact;master;pending;raw;reviewed_artifact","On Time Experts","plumbing","Dallas","TX","https://www.theontimeexperts.com/","George Donaldson","reviewed_decision_maker_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/final/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/raw/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:newimageroofing.net","5","final_artifact;master;pending;raw;reviewed_artifact","New Image Roofing","roofing","Houston","TX","https://www.newimageroofing.net","Mark Dickerson","reviewed_decision_maker_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/final/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/raw/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:knoxvilleelectrician.com/knoxville-electrician","5","final_artifact;master;pending;raw;reviewed_artifact","Knoxville Electrician","electrician","Knoxville","TN","https://knoxvilleelectrician.com/knoxville-electrician/","Ted Foster","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-150640-2026-06-14-usa-home-services-sprint/final/2026-06-14-usa-raleigh-knoxville-owner-enriched-batch-022.csv;data/runs/2026-06-14-150640-2026-06-14-usa-home-services-sprint/raw/2026-06-14T15-04-29-026Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-150640-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-usa-raleigh-knoxville-owner-enriched-batch-022.csv;data/runs/2026-06-14-150640-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T15-04-29-026Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:rainstoppersroofing.com/savannah-georgia-roofing-services","5","final_artifact;master;pending;raw;reviewed_artifact","Rainstoppers Roofing","roofing","Savannah","GA","https://rainstoppersroofing.com/savannah-georgia-roofing-services/","Scott Tebay","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-141919-2026-06-14-georgia-home-services-reboot/final/2026-06-14-georgia-rainstoppers-owner-enriched-batch-020.csv;data/runs/2026-06-14-141919-2026-06-14-georgia-home-services-reboot/raw/2026-06-14T14-18-21-363Z-georgia-home-services-reboot-fresh-leads.csv;data/runs/2026-06-14-141919-2026-06-14-georgia-home-services-reboot/reviewed/2026-06-14-georgia-rainstoppers-owner-enriched-batch-020.csv;data/runs/2026-06-14-141919-2026-06-14-georgia-home-services-reboot/tmp/2026-06-14T14-18-21-363Z-georgia-home-services-reboot-fresh-leads.pending-enrichment.csv","True","True"
"website:leecompany.com/locations/bellevue","5","final_artifact;master;pending;raw;reviewed_artifact","Lee Company Bellevue","plumbing","Nashville","TN","https://www.leecompany.com/locations/bellevue/","Richard C. Perko","reviewed_decision_maker_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-145923-2026-06-14-usa-home-services-sprint/final/2026-06-14-usa-nashville-owner-enriched-batch-021.csv;data/runs/2026-06-14-145923-2026-06-14-usa-home-services-sprint/raw/2026-06-14T14-56-58-532Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-145923-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-usa-nashville-owner-enriched-batch-021.csv;data/runs/2026-06-14-145923-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T14-56-58-532Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:aaacityplumbing.com","5","final_artifact;master;pending;raw;reviewed_artifact","AAA City Plumbing","plumbing","Charlotte","NC","https://www.aaacityplumbing.com/","Travis Nichols","reviewed_decision_maker_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/final/2026-06-14-usa-aaa-city-owner-enriched-batch-020.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/raw/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-usa-aaa-city-owner-enriched-batch-020.csv;data/runs/2026-06-14-144603-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T14-43-26-895Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
"website:allstarroofingtexas.com","5","final_artifact;master;pending;raw;reviewed_artifact","All Star Roofing","roofing","Austin","TX","https://www.allstarroofingtexas.com/","Terry Paris","reviewed_owner_verified_public_source","","","data/master_leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/final/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/raw/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/reviewed/2026-06-14-texas-owner-enriched-batch-024.csv;data/runs/2026-06-14-152343-2026-06-14-usa-home-services-sprint/tmp/2026-06-14T15-20-07-588Z-usa-home-services-sprint-fresh-leads.pending-enrichment.csv","True","True"
